"STATISTIC","Statistic Label","TLIST(W1)","Year","C03910V04662","Transport Traffic Site","C01198V01436","Weeks of the year","UNIT","VALUE"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","33","Week 33","Number","203866"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","34","Week 34","Number","206511"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","35","Week 35","Number","200630"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","36","Week 36","Number","199271"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","37","Week 37","Number","201263"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","38","Week 38","Number","199879"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","39","Week 39","Number","198275"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","40","Week 40","Number","190430"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","41","Week 41","Number","197228"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","42","Week 42","Number","192724"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","43","Week 43","Number","196678"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","44","Week 44","Number","192738"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","45","Week 45","Number","194668"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","46","Week 46","Number","195621"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","47","Week 47","Number","195203"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","48","Week 48","Number","197541"
"THA21C01","Average weekly volume of cars","2019","2019","20","Selected traffic sites - Regional","49","Week 49","Number","193350"
