Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster,Classification
Ballinasloe,Galway,53.3281251,-8.2236807,356,12,36,116,4994,1272,6786,0,Town (Small)
Ballincar,Sligo,54.2979892,-8.497289499999999,16,0,2,0,312,24,354,0,Town (Small)
Ballinderreen,Galway,53.18567210000001,-8.909645399999999,56,0,2,2,390,108,558,0,Town (Small)
Ballindine,Mayo,53.66925690000001,-8.9567295,50,0,4,0,438,68,560,0,Town (Small)
Ballindrait,Donegal,54.8451594,-7.526530599999999,8,0,2,0,70,4,84,0,Town (Small)
Ballineen-Enniskean,Cork,51.73824,-8.930579999999999,98,0,6,0,556,140,800,0,Town (Small)
Ballingarry,Limerick,52.4732187,-8.8627555,58,0,2,0,614,102,776,0,Town (Small)
Ballingarry,Tipperary,52.5863379,-7.5416271,22,0,2,8,218,40,290,0,Town (Small)
Ballinlough,Roscommon,53.7418858,-8.6335579,12,0,4,0,308,28,352,0,Town (Small)
Ballinroad,Waterford,52.1037518,-7.5734156,40,2,8,0,1810,160,2020,0,Town (Small)
Ballinrobe,Mayo,53.6237338,-9.2211143,172,4,16,6,2650,836,3684,0,Town (Small)
Ballinspittle,Cork,51.6663408,-8.596594099999999,58,0,0,0,330,74,462,0,Town (Small)
Ballintober,Roscommon,53.7180878,-8.4100998,8,0,2,2,206,20,238,0,Town (Small)
Ballintogher,Sligo,54.2006449,-8.3649676,60,0,4,0,392,48,504,0,Town (Small)
Ballintra,Donegal,54.57884989999999,-8.1243234,20,0,0,0,226,14,260,0,Town (Small)
Ballitore,Kildare,53.009742,-6.8156295,82,0,0,6,644,30,762,0,Town (Small)
Ballivor,Meath,53.5329521,-6.968071699999999,370,0,6,14,1826,326,2542,0,Town (Small)
Ballon,Carlow,52.7391042,-6.769783899999999,128,2,0,4,702,192,1028,0,Town (Small)
Ballyagran,Limerick,52.4018224,-8.782366699999999,14,0,2,0,180,10,206,0,Town (Small)
