Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster
Ballydesmond,Cork,52.1796564,-9.2341524,18,2,12,0,228,28,288,0
Ballyduff,Kerry,52.45455159999999,-9.662905199999999,74,2,0,0,340,62,478,0
Ballyforan,Roscommon,53.4700864,-8.270057999999999,28,0,0,0,184,50,262,0
Ballygar,Galway,53.5238778,-8.3346912,34,2,2,2,554,192,786,0
Ballygarvan,Cork,51.824267,-8.4612549,82,0,4,0,626,114,826,0
Ballygawley,Sligo,54.1920204,-8.4452435,36,0,0,2,356,8,402,0
Ballyhack,Wexford,52.2487468,-6.9640362,12,0,0,0,154,32,198,0
Ballyhahill,Limerick,52.5595432,-9.1944765,24,0,2,0,120,34,180,0
Ballyhaise,Cavan,54.0473393,-7.315509299999999,124,0,4,2,692,172,994,0
Ballyhale,Kilkenny,52.4669813,-7.2002655,6,0,2,0,182,40,230,0
Ballyhaunis,Mayo,53.7628378,-8.7645957,180,2,12,26,1724,950,2894,0
Ballyheigue,Kerry,52.3904645,-9.8277419,120,0,2,4,378,42,546,0
Ballyhogue,Wexford,52.41432,-6.575349999999999,60,0,0,0,252,22,334,0
Ballyhooly,Cork,52.1452748,-8.3980968,80,0,0,0,606,124,810,0
Ballyjamesduff,Cavan,53.8638736,-7.206456199999999,164,2,16,4,2534,1082,3802,0
Ballyknockan,Wicklow,53.1029934,-6.4959254,56,0,0,0,238,6,300,0
Ballylanders,Limerick,52.37351659999999,-8.3455064,36,0,2,0,266,88,392,0
Ballyliffin,Donegal,55.2784391,-7.3942123,82,0,2,0,374,46,504,0
Ballylinan,Laois,52.94358829999999,-7.0420455,206,2,12,32,1176,148,1576,0
Ballylongford,Kerry,52.5479992,-9.4788097,66,0,4,0,354,18,442,0
Ballymacarbry,Waterford,52.2670804,-7.717650399999999,24,0,0,0,138,14,176,0
Ballymacoda,Cork,51.89210929999999,-7.9395743,62,2,0,0,218,0,282,0
Ballymahon,Longford,53.5643632,-7.764596399999999,40,2,2,6,1162,524,1736,0
Ballymore,Westmeath,53.4909131,-7.679746399999999,64,0,8,8,500,50,630,0
Ballymore Eustace,Kildare,53.1330099,-6.614880899999999,112,0,0,12,600,92,816,0
Ballymote,Sligo,54.08982880000001,-8.5171827,98,4,4,18,1534,364,2022,0
Ballymurn,Wexford,52.4412829,-6.477046899999999,84,2,2,2,690,78,858,0
Ballynacargy,Westmeath,53.5820789,-7.5364989,28,0,0,0,128,48,204,0
Ballynacarrow,Sligo,54.13409679999999,-8.560462,18,0,0,0,256,28,302,0
Ballyneety,Limerick,52.5977547,-8.5490207,36,0,0,2,682,18,738,0
Ballynoe,Cork,51.9472538,-8.4460079,50,0,0,0,208,6,264,0
Ballyoulster,Kildare,53.34146459999999,-6.512193799999999,80,2,2,10,336,60,490,0
Ballyporeen,Tipperary,52.2701094,-8.0992106,42,0,4,2,252,60,360,0
Ballyragget,Kilkenny,52.7888894,-7.3328641,148,0,10,4,952,188,1302,0
Ballyroan,Laois,52.9483991,-7.304667599999998,102,0,6,4,712,64,888,0
Ballyroe,Kildare,52.9578429,-6.9389751,24,0,2,4,160,36,226,0
Ballysadare,Sligo,54.2121162,-8.5090366,88,4,10,10,2012,272,2396,0
Ballyshannon,Donegal,54.5029882,-8.1920416,124,2,4,6,1626,514,2276,0
Ballysimon,Wexford,52.5227528,-6.483686199999999,32,0,12,0,356,40,440,0
Ballyvaughan,Clare,53.1155333,-9.149423299999999,34,0,2,0,94,48,178,0
Balrothery,Dublin,53.2915766,-6.339198199999999,380,10,4,84,2030,498,3006,0
Baltimore,Cork,51.4843274,-9.3661093,86,2,8,4,272,90,462,0
Baltinglass,Wicklow,52.9407807,-6.710979999999999,104,4,8,12,2014,774,2916,0
Baltray,Louth,53.7371107,-6.2704904,10,0,0,4,166,2,182,0
Banagher,Offaly,53.1901112,-7.986104900000001,62,0,12,6,1372,586,2038,0
Bandon,Cork,51.74586679999999,-8.735055299999999,808,18,44,18,7458,1716,10062,0
Bangor Erris,Mayo,54.14464839999999,-9.7428784,50,0,4,0,266,70,390,0
Bansha,Tipperary,52.4482369,-8.0642959,42,0,0,6,256,62,366,0
Banteer,Cork,52.12946059999999,-8.8935092,36,0,2,10,312,50,410,0
Bantry,Cork,51.6800803,-9.452576299999999,102,2,12,2,2240,780,3138,0
Barndarrig,Wicklow,52.90998,-6.11336,54,0,2,2,256,10,324,0
Barntown,Wexford,52.34238800000001,-6.5284919,34,0,0,4,526,26,590,0
Baylin,Westmeath,53.43380999999999,-7.840739999999998,14,0,0,6,340,26,386,0
Bearna,Galway,53.2506642,-9.155134499999999,144,8,10,8,2436,362,2968,0
Beaufort,Kerry,52.0722344,-9.6392584,26,0,2,2,280,18,328,0
Beaulieu,Louth,53.7280656,-6.2935757,12,2,6,4,230,12,266,0
Belcarra,Mayo,53.8022746,-9.2141371,12,0,0,0,180,36,228,0
