Town,County,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster
Castlecomer,Kilkenny,66,2,0,6,1230,328,1632,0
Castleconnell,Limerick,350,8,18,16,2466,320,3178,0
Castledermot,Kildare,62,0,16,18,1506,450,2052,0
Castlefinn,Donegal,152,0,8,2,514,104,780,0
Castlegregory,Kerry,12,2,4,2,352,62,434,0
Castleisland,Kerry,84,0,16,4,2208,476,2788,0
Castlelyons,Cork,70,0,0,0,484,14,568,0
Castlemagner,Cork,42,0,8,6,452,2,510,0
Castlemaine,Kerry,6,0,2,0,184,12,204,0
Castlemartyr,Cork,286,4,10,6,1402,390,2098,0
Castlepollard,Westmeath,56,0,6,4,1052,310,1428,0
Castlerea,Roscommon,104,6,22,38,1510,336,2016,0
Castletown,Laois,46,0,2,4,422,70,544,0
Castletown Geoghegan,Westmeath,38,0,2,4,274,30,348,0
Castletownbere,Cork,12,0,4,0,756,384,1156,0
Castletownroche,Cork,40,0,6,4,384,114,548,0
Castletownshend,Cork,6,0,2,2,126,14,150,0
Causeway,Kerry,2,0,2,0,184,30,218,0
Cavan,Cavan,846,20,48,26,10680,2234,13854,3
Celbridge,Kildare,3912,124,34,892,16910,5594,27466,3
Charlestown-Bellahy,Mayo,54,0,12,2,1072,322,1462,0
Charleville,Cork,182,10,16,12,3144,968,4332,0
Cheekpoint,Waterford,20,0,6,4,242,10,282,0
Churchtown,Cork,60,0,0,16,570,162,808,0
Cill Charthaigh,Donegal,54,0,2,0,344,50,450,0
Cill Rónáin,Galway,16,0,4,2,114,96,232,0
Clane,Kildare,946,24,18,178,7760,2064,10990,0
Clara,Offaly,184,4,14,80,3092,654,4028,0
Claremorris,Mayo,474,16,6,26,3320,736,4578,0
Clarina,Limerick,42,0,2,0,682,36,762,0
Clarinbridge,Galway,112,0,4,8,994,88,1206,0
Clashmore,Waterford,54,2,0,0,256,46,358,0
Clifden,Galway,64,0,6,6,712,504,1292,0
Cliffony,Sligo,52,2,6,0,454,58,572,0
Clogh,Kilkenny,42,0,4,2,274,14,336,0
Cloghan,Offaly,76,0,8,2,590,74,750,0
Clogheen,Tipperary,60,4,0,0,418,62,544,0
Clogherhead,Louth,482,2,22,36,2056,518,3116,0
Cloghfin,Donegal,20,0,0,0,120,4,144,0
Clonakilty,Cork,204,10,12,8,4000,1796,6030,0
Clonard,Meath,78,2,2,6,326,24,438,0
Clonaslee,Laois,20,2,4,4,632,84,746,0
Clonbullogue,Offaly,46,2,2,6,314,58,428,0
Clondrohid,Cork,22,0,2,0,212,18,254,0
Clondulane,Cork,4,2,2,0,554,96,658,0
Clonee,Meath,200,16,2,48,1060,200,1526,0
Clonegall,Carlow,10,0,6,0,202,60,278,0
Clones,Monaghan,72,2,10,4,1258,818,2164,0
Clongeen,Wexford,46,0,0,2,212,22,282,0
Clonlara,Clare,52,0,4,2,840,118,1016,0
Clonmany,Donegal,104,0,6,2,438,58,608,0
Clonmel,Tipperary,756,50,46,32,16448,3590,20922,3
Clonmellon,Westmeath,102,0,8,4,670,136,920,0
Clonroche,Wexford,30,0,0,0,212,62,304,0
Clontibret,Monaghan,40,0,0,2,216,32,290,0
Clonygowan,Offaly,32,0,4,20,306,74,436,0
Cloonfad,Roscommon,26,0,6,0,378,70,480,0
Cloontuskert,Roscommon,10,2,0,2,180,16,210,0
Cloughduv,Cork,68,0,2,0,450,88,608,0
Cloughjordan,Tipperary,128,2,8,14,392,228,772,0
Cloyne,Cork,306,12,12,30,1926,388,2674,0
Cluain Bú,Galway,88,0,4,0,498,8,598,0
Coachford,Cork,12,0,2,0,416,140,570,0
Cobh,Cork,1398,30,116,606,12322,3338,17810,3
