,Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total,Cluster,Classification,Public,Private,Public to Private Ratio
91,Ballyclerahan,Tipperary,52.4118971,-7.753067199999999,58,2,10,2,1092,118,1282,0,Town (Small),60,1094,0.054844606946983544
92,Ballyclogh,Cork,52.1673919,-8.742242,42,0,6,2,276,44,370,0,Town (Small),44,276,0.15942028985507245
93,Ballycolla,Laois,52.8825474,-7.446860600000001,4,0,0,0,136,6,146,0,Town (Small),4,136,0.029411764705882353
94,Ballyconnell,Cavan,54.1162175,-7.583954299999999,206,12,10,4,1132,350,1714,0,Town (Small),210,1144,0.18356643356643357
95,Ballycotton,Cork,51.8299148,-8.0097621,38,0,0,0,426,72,536,0,Town (Small),38,426,0.0892018779342723
96,Ballycullane,Wexford,52.2803179,-6.8397818,30,0,2,2,182,34,250,0,Town (Small),32,182,0.17582417582417584
97,Ballycumber,Offaly,53.3264159,-7.686113700000001,16,0,0,0,214,18,248,0,Town (Small),16,214,0.07476635514018691
98,Ballydehob,Cork,51.5644261,-9.463412199999999,22,0,4,0,222,58,306,0,Town (Small),22,222,0.0990990990990991
99,Ballydesmond,Cork,52.1796564,-9.2341524,18,2,12,0,228,28,288,0,Town (Small),18,230,0.0782608695652174
100,Ballyduff,Kerry,52.45455159999999,-9.662905199999999,74,2,0,0,340,62,478,0,Town (Small),74,342,0.21637426900584794
101,Ballyforan,Roscommon,53.4700864,-8.270057999999999,28,0,0,0,184,50,262,0,Town (Small),28,184,0.15217391304347827
102,Ballygar,Galway,53.5238778,-8.3346912,34,2,2,2,554,192,786,0,Town (Small),36,556,0.06474820143884892
103,Ballygarvan,Cork,51.824267,-8.4612549,82,0,4,0,626,114,826,0,Town (Small),82,626,0.13099041533546327
104,Ballygawley,Sligo,54.1920204,-8.4452435,36,0,0,2,356,8,402,0,Town (Small),38,356,0.10674157303370786
105,Ballyhack,Wexford,52.2487468,-6.9640362,12,0,0,0,154,32,198,0,Town (Small),12,154,0.07792207792207792
106,Ballyhahill,Limerick,52.5595432,-9.1944765,24,0,2,0,120,34,180,0,Town (Small),24,120,0.2
107,Ballyhaise,Cavan,54.0473393,-7.315509299999999,124,0,4,2,692,172,994,0,Town (Small),126,692,0.18208092485549132
108,Ballyhale,Kilkenny,52.4669813,-7.2002655,6,0,2,0,182,40,230,0,Town (Small),6,182,0.03296703296703297
109,Ballyhaunis,Mayo,53.7628378,-8.7645957,180,2,12,26,1724,950,2894,0,Town (Small),206,1726,0.11935110081112399
110,Ballyheigue,Kerry,52.3904645,-9.8277419,120,0,2,4,378,42,546,0,Town (Small),124,378,0.328042328042328
111,Ballyhogue,Wexford,52.41432,-6.575349999999999,60,0,0,0,252,22,334,0,Town (Small),60,252,0.23809523809523808
112,Ballyhooly,Cork,52.1452748,-8.3980968,80,0,0,0,606,124,810,0,Town (Small),80,606,0.132013201320132
113,Ballyjamesduff,Cavan,53.8638736,-7.206456199999999,164,2,16,4,2534,1082,3802,0,Town (Small),168,2536,0.06624605678233439
114,Ballyknockan,Wicklow,53.1029934,-6.4959254,56,0,0,0,238,6,300,0,Town (Small),56,238,0.23529411764705882
115,Ballylanders,Limerick,52.37351659999999,-8.3455064,36,0,2,0,266,88,392,0,Town (Small),36,266,0.13533834586466165
116,Ballyliffin,Donegal,55.2784391,-7.3942123,82,0,2,0,374,46,504,0,Town (Small),82,374,0.2192513368983957
117,Ballylinan,Laois,52.94358829999999,-7.0420455,206,2,12,32,1176,148,1576,0,Town (Small),238,1178,0.20203735144312393
118,Ballylongford,Kerry,52.5479992,-9.4788097,66,0,4,0,354,18,442,0,Town (Small),66,354,0.1864406779661017
119,Ballymacarbry,Waterford,52.2670804,-7.717650399999999,24,0,0,0,138,14,176,0,Town (Small),24,138,0.17391304347826086
120,Ballymacoda,Cork,51.89210929999999,-7.9395743,62,2,0,0,218,0,282,0,Town (Small),62,220,0.2818181818181818
121,Ballymahon,Longford,53.5643632,-7.764596399999999,40,2,2,6,1162,524,1736,0,Town (Small),46,1164,0.03951890034364261
122,Ballymore,Westmeath,53.4909131,-7.679746399999999,64,0,8,8,500,50,630,0,Town (Small),72,500,0.144
123,Ballymore Eustace,Kildare,53.1330099,-6.614880899999999,112,0,0,12,600,92,816,0,Town (Small),124,600,0.20666666666666667
124,Ballymote,Sligo,54.08982880000001,-8.5171827,98,4,4,18,1534,364,2022,0,Town (Small),116,1538,0.0754226267880364
125,Ballymurn,Wexford,52.4412829,-6.477046899999999,84,2,2,2,690,78,858,0,Town (Small),86,692,0.12427745664739884
126,Ballynacargy,Westmeath,53.5820789,-7.5364989,28,0,0,0,128,48,204,0,Town (Small),28,128,0.21875
127,Ballynacarrow,Sligo,54.13409679999999,-8.560462,18,0,0,0,256,28,302,0,Town (Small),18,256,0.0703125
128,Ballyneety,Limerick,52.5977547,-8.5490207,36,0,0,2,682,18,738,0,Town (Small),38,682,0.05571847507331378
129,Ballynoe,Cork,51.9472538,-8.4460079,50,0,0,0,208,6,264,0,Town (Small),50,208,0.2403846153846154
130,Ballyoulster,Kildare,53.34146459999999,-6.512193799999999,80,2,2,10,336,60,490,0,Town (Small),90,338,0.26627218934911245
131,Ballyporeen,Tipperary,52.2701094,-8.0992106,42,0,4,2,252,60,360,0,Town (Small),44,252,0.1746031746031746
132,Ballyragget,Kilkenny,52.7888894,-7.3328641,148,0,10,4,952,188,1302,0,Town (Small),152,952,0.15966386554621848
133,Ballyroan,Laois,52.9483991,-7.304667599999998,102,0,6,4,712,64,888,0,Town (Small),106,712,0.14887640449438203
134,Ballyroe,Kildare,52.9578429,-6.9389751,24,0,2,4,160,36,226,0,Town (Small),28,160,0.175
135,Ballysadare,Sligo,54.2121162,-8.5090366,88,4,10,10,2012,272,2396,0,Town (Small),98,2016,0.04861111111111111
136,Ballyshannon,Donegal,54.5029882,-8.1920416,124,2,4,6,1626,514,2276,0,Town (Small),130,1628,0.07985257985257985
137,Ballysimon,Wexford,52.5227528,-6.483686199999999,32,0,12,0,356,40,440,0,Town (Small),32,356,0.0898876404494382
138,Ballyvaughan,Clare,53.1155333,-9.149423299999999,34,0,2,0,94,48,178,0,Town (Small),34,94,0.3617021276595745
139,Balrothery,Dublin,53.2915766,-6.339198199999999,380,10,4,84,2030,498,3006,0,Town (Small),464,2040,0.22745098039215686
140,Baltimore,Cork,51.4843274,-9.3661093,86,2,8,4,272,90,462,0,Town (Small),90,274,0.3284671532846715
141,Baltinglass,Wicklow,52.9407807,-6.710979999999999,104,4,8,12,2014,774,2916,0,Town (Small),116,2018,0.057482656095143705
142,Baltray,Louth,53.7371107,-6.2704904,10,0,0,4,166,2,182,0,Town (Small),14,166,0.08433734939759036
143,Banagher,Offaly,53.1901112,-7.986104900000001,62,0,12,6,1372,586,2038,0,Town (Small),68,1372,0.04956268221574344
144,Bandon,Cork,51.74586679999999,-8.735055299999999,808,18,44,18,7458,1716,10062,0,Town (Small),826,7476,0.1104868913857678
145,Bangor Erris,Mayo,54.14464839999999,-9.7428784,50,0,4,0,266,70,390,0,Town (Small),50,266,0.18796992481203006
146,Bansha,Tipperary,52.4482369,-8.0642959,42,0,0,6,256,62,366,0,Town (Small),48,256,0.1875
147,Banteer,Cork,52.12946059999999,-8.8935092,36,0,2,10,312,50,410,0,Town (Small),46,312,0.14743589743589744
148,Bantry,Cork,51.6800803,-9.452576299999999,102,2,12,2,2240,780,3138,0,Town (Small),104,2242,0.0463871543264942
149,Barndarrig,Wicklow,52.90998,-6.11336,54,0,2,2,256,10,324,0,Town (Small),56,256,0.21875
150,Barntown,Wexford,52.34238800000001,-6.5284919,34,0,0,4,526,26,590,0,Town (Small),38,526,0.07224334600760456
151,Baylin,Westmeath,53.43380999999999,-7.840739999999998,14,0,0,6,340,26,386,0,Town (Small),20,340,0.058823529411764705
152,Bearna,Galway,53.2506642,-9.155134499999999,144,8,10,8,2436,362,2968,0,Town (Small),152,2444,0.062193126022913256
153,Beaufort,Kerry,52.0722344,-9.6392584,26,0,2,2,280,18,328,0,Town (Small),28,280,0.1
154,Beaulieu,Louth,53.7280656,-6.2935757,12,2,6,4,230,12,266,0,Town (Small),16,232,0.06896551724137931
155,Belcarra,Mayo,53.8022746,-9.2141371,12,0,0,0,180,36,228,0,Town (Small),12,180,0.06666666666666667
156,Belgooly,Cork,51.7368994,-8.481586900000002,206,0,2,6,888,140,1242,0,Town (Small),212,888,0.23873873873873874
157,Bellanagare,Roscommon,53.8369829,-8.3815026,12,0,4,0,124,14,154,0,Town (Small),12,124,0.0967741935483871
158,Bellanode,Monaghan,54.266922,-7.0364418,64,0,2,0,484,22,572,0,Town (Small),64,484,0.1322314049586777
159,Bellavary,Mayo,53.89366,-9.15104,20,0,0,0,186,34,240,0,Town (Small),20,186,0.10752688172043011
160,Belmont,Offaly,53.2560708,-7.895165199999999,12,0,0,0,152,14,178,0,Town (Small),12,152,0.07894736842105263
161,Belturbet,Cavan,54.10190559999999,-7.449668,120,0,4,6,1154,306,1590,0,Town (Small),126,1154,0.10918544194107452
162,Bennettsbridge,Kilkenny,52.5923475,-7.1843272,72,0,8,2,600,100,782,0,Town (Small),74,600,0.12333333333333334
163,Birr,Offaly,53.0980052,-7.909688200000001,152,2,24,36,3602,1314,5130,0,Town (Small),188,3604,0.05216426193118757
164,Blacklion,Cavan,54.2920639,-7.875127599999999,8,0,0,4,162,22,196,0,Town (Small),12,162,0.07407407407407407
165,Blackwater,Wexford,52.4473539,-6.346930299999999,60,0,0,2,390,62,514,0,Town (Small),62,390,0.15897435897435896
166,Blarney,Cork,51.9338275,-8.5612438,198,4,2,8,2798,370,3380,0,Town (Small),206,2802,0.07351891506067094
167,Blessington,Wicklow,53.1696579,-6.534068700000001,808,20,16,52,5150,1570,7616,0,Town (Small),860,5170,0.16634429400386846
168,Boherbue,Cork,52.1582386,-9.0684828,8,0,0,0,406,118,532,0,Town (Small),8,406,0.019704433497536946
169,Boherlahan,Tipperary,52.5730161,-7.893562899999999,16,0,2,4,170,20,212,0,Town (Small),20,170,0.11764705882352941
170,Bohola,Mayo,53.9025842,-9.0549945,26,0,0,0,170,10,206,0,Town (Small),26,170,0.15294117647058825
171,Bonniconlon,Mayo,54.10908999999999,-9.03075,12,0,0,0,204,36,252,0,Town (Small),12,204,0.058823529411764705
172,Borris,Carlow,52.6012982,-6.9279771,20,0,4,6,438,164,632,0,Town (Small),26,438,0.0593607305936073
173,Borris-In-Ossory,Laois,52.93917769999999,-7.6310983,104,0,4,6,538,124,776,0,Town (Small),110,538,0.20446096654275092
174,Borrisokane,Tipperary,52.9963736,-8.127325599999999,62,6,2,0,808,330,1208,0,Town (Small),62,814,0.07616707616707617
175,Borrisoleigh,Tipperary,52.7525257,-7.957887599999999,12,2,12,8,662,134,830,0,Town (Small),20,664,0.030120481927710843
176,Boyle,Roscommon,53.9722082,-8.2972756,136,0,14,20,1886,684,2740,0,Town (Small),156,1886,0.08271474019088017
177,Bracknagh,Offaly,53.209205,-7.0981836,28,0,4,4,238,16,290,0,Town (Small),32,238,0.13445378151260504
178,Brannockstown,Kildare,53.1226695,-6.693786599999999,8,4,2,10,254,10,288,0,Town (Small),18,258,0.06976744186046512
179,Bray,Wicklow,53.2006993,-6.110931900000001,4460,170,114,3360,22580,8834,39518,3,Town (Medium),7820,22750,0.34373626373626376
180,Bree,Wexford,52.43517689999999,-6.6087149,34,0,0,2,318,58,412,0,Town (Small),36,318,0.11320754716981132
181,Bridebridge,Cork,51.9271158,-8.4865968,24,2,4,0,204,28,262,0,Town (Small),24,206,0.11650485436893204
182,Bridge End,Donegal,55.0422391,-7.3821884,50,0,4,0,360,52,466,0,Town (Small),50,360,0.1388888888888889
183,Bridgetown,Wexford,52.2302422,-6.549064,80,0,0,0,446,92,618,0,Town (Small),80,446,0.17937219730941703
184,Brittas,Dublin,53.2288212,-6.4432551,26,0,2,4,168,2,202,0,Town (Small),30,168,0.17857142857142858
185,Broadford,Clare,52.8060302,-8.6328674,36,0,4,0,328,56,424,0,Town (Small),36,328,0.10975609756097561
186,Broadford,Limerick,52.34552859999999,-8.9752937,12,0,2,0,194,48,256,0,Town (Small),12,194,0.061855670103092786
187,Brosna,Kerry,52.3125648,-9.267679,16,0,0,0,130,14,160,0,Town (Small),16,130,0.12307692307692308
188,Bruff,Limerick,52.4755485,-8.5474034,106,0,8,4,756,172,1046,0,Town (Small),110,756,0.1455026455026455
189,Bruree,Limerick,52.4243025,-8.6606015,62,0,4,0,600,56,722,0,Town (Small),62,600,0.10333333333333333
190,Bun Na Leaca,Donegal,55.1297357,-8.2804066,148,0,0,0,422,26,596,0,Town (Small),148,422,0.35071090047393366
191,Bunclody,Wexford,52.6550857,-6.652193,52,2,4,12,1474,456,2000,0,Town (Small),64,1476,0.04336043360433604
192,Buncrana,Donegal,55.1365797,-7.4560128,374,0,48,4,6672,1124,8222,0,Town (Small),378,6672,0.05665467625899281
193,Bundoran,Donegal,54.4791416,-8.2779341,122,2,6,12,1906,720,2768,0,Town (Small),134,1908,0.07023060796645703
194,Bunratty,Clare,52.6980379,-8.8148982,36,2,0,2,338,12,390,0,Town (Small),38,340,0.11176470588235295
195,Burnfoot,Donegal,55.0583056,-7.4049447,92,0,6,0,378,10,486,0,Town (Small),92,378,0.24338624338624337
196,Butlersbridge,Cavan,54.0452119,-7.3769588,20,0,4,0,260,46,330,0,Town (Small),20,260,0.07692307692307693
197,Buttevant,Cork,52.2321335,-8.670124699999999,52,2,2,8,836,208,1108,0,Town (Small),60,838,0.07159904534606205
198,Bweeng,Cork,52.0448011,-8.7231577,96,0,4,2,908,82,1092,0,Town (Small),98,908,0.10792951541850221
199,Béal An Mhuirthead,Mayo,54.2238996,-9.9876028,50,0,4,2,854,274,1184,0,Town (Small),52,854,0.06088992974238876
200,Béal Átha An Ghaorthaidh,Cork,51.8507469,-9.232640199999999,2,0,0,0,246,46,294,0,Town (Small),2,246,0.008130081300813009
201,Caherconlish,Limerick,52.5951658,-8.4723577,236,0,2,2,1498,180,1918,0,Town (Small),238,1498,0.1588785046728972
202,Cahir,Tipperary,52.3745296,-7.925246899999999,308,2,12,20,2970,832,4144,0,Town (Small),328,2972,0.11036339165545088
203,Cahirciveen,Kerry,51.9477992,-10.2209047,56,2,2,2,672,372,1106,0,Town (Small),58,674,0.08605341246290801
204,Callan,Kilkenny,52.544567,-7.390170899999999,182,4,6,8,2396,656,3252,0,Town (Small),190,2400,0.07916666666666666
205,Calverstown,Kildare,53.0826121,-6.797989400000001,132,0,2,28,760,20,942,0,Town (Small),160,760,0.21052631578947367
206,Camolin,Wexford,52.6156787,-6.4263356,66,4,10,0,352,64,496,0,Town (Small),66,356,0.1853932584269663
207,Campile,Wexford,52.2881507,-6.9413872,114,0,2,0,262,12,390,0,Town (Small),114,262,0.4351145038167939
208,Cappamore,Limerick,52.6149925,-8.3377813,80,6,6,0,470,166,728,0,Town (Small),80,476,0.16806722689075632
209,Cappawhite,Tipperary,52.5822151,-8.164659000000002,36,0,0,4,334,78,452,0,Town (Small),40,334,0.11976047904191617
210,Cappoquin,Waterford,52.1462713,-7.842743799999999,116,0,4,0,566,162,848,0,Town (Small),116,566,0.2049469964664311
211,Carlanstown,Meath,53.7597065,-6.841353799999999,94,2,6,0,826,138,1066,0,Town (Small),94,828,0.11352657004830918
212,Carlingford,Louth,54.0468677,-6.190181,174,2,4,10,1120,268,1578,0,Town (Small),184,1122,0.16399286987522282
213,Carlow,Carlow,52.835854,-6.932474399999999,1208,122,114,478,22762,7268,31952,3,Town (Medium),1686,22884,0.07367593078133193
214,Carndonagh,Donegal,55.2506229,-7.266890500000001,204,0,22,4,2462,456,3148,0,Town (Small),208,2462,0.08448415922014622
215,Carnew,Wicklow,52.7096658,-6.4992316,32,0,4,10,908,400,1354,0,Town (Small),42,908,0.046255506607929514
