"STATISTIC","Statistic Label","TLIST(A1)","Year","C03132V03784","Luas Line","C03841V04591","Time of day","UNIT","VALUE"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","01","Red line","250","17:00 - 17:59","%","9.42"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","01","Red line","260","18:00 - 18:59","%","6.78"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","01","Red line","270","19:00 - 19:59","%","4.51"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","01","Red line","280","20:00 - 20:59","%","3.41"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","01","Red line","290","21:00 - 21:59","%","2.48"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","01","Red line","300","22:00 - 22:59","%","1.87"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","01","Red line","320","23:00 - 23:59","%","1.04"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","01","Red line","330","00:00 - 00:59","%","0.34"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","02","Green line","110","05:00 - 05:59","%","0.41"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","02","Green line","120","06:00 - 06:59","%","2.77"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","02","Green line","130","07:00 - 07:59","%","6.54"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","02","Green line","140","08:00 - 08:59","%","10.46"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","02","Green line","150","09:00 - 09:59","%","5.37"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","02","Green line","160","10:00 - 10:59","%","4.01"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","02","Green line","180","11:00 - 11:59","%","4.12"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","02","Green line","190","12:00 - 12:59","%","4.97"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","02","Green line","200","13:00 - 13:59","%","5.52"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","02","Green line","220","14:00 - 14:59","%","5.7"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","02","Green line","230","15:00 - 15:59","%","7.02"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","02","Green line","240","16:00 - 16:59","%","8.95"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","02","Green line","250","17:00 - 17:59","%","10.69"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","02","Green line","260","18:00 - 18:59","%","7.97"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","02","Green line","270","19:00 - 19:59","%","4.58"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","02","Green line","280","20:00 - 20:59","%","3.26"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","02","Green line","290","21:00 - 21:59","%","2.64"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","02","Green line","300","22:00 - 22:59","%","2.51"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","02","Green line","320","23:00 - 23:59","%","1.86"
"TOA09C01","Percentage of daily Luas passengers","2021","2021","02","Green line","330","00:00 - 00:59","%","0.65"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","-","All Luas lines","110","05:00 - 05:59","%","32"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","-","All Luas lines","120","06:00 - 06:59","%","2.33"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","-","All Luas lines","130","07:00 - 07:59","%","5.7"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","-","All Luas lines","140","08:00 - 08:59","%","11.32"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","-","All Luas lines","150","09:00 - 09:59","%","6.67"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","-","All Luas lines","160","10:00 - 10:59","%","4.31"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","-","All Luas lines","180","11:00 - 11:59","%","4.14"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","-","All Luas lines","190","12:00 - 12:59","%","5.15"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","-","All Luas lines","200","13:00 - 13:59","%","5.97"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","-","All Luas lines","220","14:00 - 14:59","%","5.58"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","-","All Luas lines","230","15:00 - 15:59","%","6.42"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","-","All Luas lines","240","16:00 - 16:59","%","8.12"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","-","All Luas lines","250","17:00 - 17:59","%","10.3"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","-","All Luas lines","260","18:00 - 18:59","%","7.97"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","-","All Luas lines","270","19:00 - 19:59","%","4.74"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","-","All Luas lines","280","20:00 - 20:59","%","3.65"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","-","All Luas lines","290","21:00 - 21:59","%","2.82"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","-","All Luas lines","300","22:00 - 22:59","%","2.2"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","-","All Luas lines","320","23:00 - 23:59","%","1.7"
"TOA09C01","Percentage of daily Luas passengers","2022","2022","-","All Luas lines","330","00:00 - 00:59","%","0.61"
