"STATISTIC","Statistic Label","TLIST(W1)","Week","C03132V03784","Luas Line","UNIT","VALUE"
"TII03C01","Passenger Journeys","2019W49","2019 Week 49","-","All Luas lines","Number","1080791"
"TII03C01","Passenger Journeys","2019W49","2019 Week 49","1","Red line","Number","519257"
"TII03C01","Passenger Journeys","2019W49","2019 Week 49","2","Green line","Number","561534"
"TII03C01","Passenger Journeys","2019W50","2019 Week 50","-","All Luas lines","Number","1151098"
"TII03C01","Passenger Journeys","2019W50","2019 Week 50","1","Red line","Number","556229"
"TII03C01","Passenger Journeys","2019W50","2019 Week 50","2","Green line","Number","594869"
"TII03C01","Passenger Journeys","2019W51","2019 Week 51","-","All Luas lines","Number","1173473"
"TII03C01","Passenger Journeys","2019W51","2019 Week 51","1","Red line","Number","550775"
"TII03C01","Passenger Journeys","2019W51","2019 Week 51","2","Green line","Number","622699"
"TII03C01","Passenger Journeys","2019W52","2019 Week 52","-","All Luas lines","Number","538511"
"TII03C01","Passenger Journeys","2019W52","2019 Week 52","1","Red line","Number","259211"
"TII03C01","Passenger Journeys","2019W52","2019 Week 52","2","Green line","Number","279301"
"TII03C01","Passenger Journeys","2019W53","2019 Week 53","-","All Luas lines","Number",""
"TII03C01","Passenger Journeys","2019W53","2019 Week 53","1","Red line","Number",""
"TII03C01","Passenger Journeys","2019W53","2019 Week 53","2","Green line","Number",""
"TII03C01","Passenger Journeys","2020W01","2020 Week 01","-","All Luas lines","Number","602998"
"TII03C01","Passenger Journeys","2020W01","2020 Week 01","1","Red line","Number","304607"
"TII03C01","Passenger Journeys","2020W01","2020 Week 01","2","Green line","Number","298391"
"TII03C01","Passenger Journeys","2020W02","2020 Week 02","-","All Luas lines","Number","828455"
"TII03C01","Passenger Journeys","2020W02","2020 Week 02","1","Red line","Number","401704"
"TII03C01","Passenger Journeys","2020W02","2020 Week 02","2","Green line","Number","426751"
"TII03C01","Passenger Journeys","2020W03","2020 Week 03","-","All Luas lines","Number","889804"
"TII03C01","Passenger Journeys","2020W03","2020 Week 03","1","Red line","Number","436427"
"TII03C01","Passenger Journeys","2020W03","2020 Week 03","2","Green line","Number","453378"
"TII03C01","Passenger Journeys","2020W04","2020 Week 04","-","All Luas lines","Number","904841"
"TII03C01","Passenger Journeys","2020W04","2020 Week 04","1","Red line","Number","438798"
"TII03C01","Passenger Journeys","2020W04","2020 Week 04","2","Green line","Number","466044"
"TII03C01","Passenger Journeys","2020W05","2020 Week 05","-","All Luas lines","Number","942828"
"TII03C01","Passenger Journeys","2020W05","2020 Week 05","1","Red line","Number","460495"
"TII03C01","Passenger Journeys","2020W05","2020 Week 05","2","Green line","Number","482333"
"TII03C01","Passenger Journeys","2020W06","2020 Week 06","-","All Luas lines","Number","920121"
"TII03C01","Passenger Journeys","2020W06","2020 Week 06","1","Red line","Number","460914"
"TII03C01","Passenger Journeys","2020W06","2020 Week 06","2","Green line","Number","459207"
"TII03C01","Passenger Journeys","2020W07","2020 Week 07","-","All Luas lines","Number","911461"
"TII03C01","Passenger Journeys","2020W07","2020 Week 07","1","Red line","Number","448811"
"TII03C01","Passenger Journeys","2020W07","2020 Week 07","2","Green line","Number","462651"
"TII03C01","Passenger Journeys","2020W08","2020 Week 08","-","All Luas lines","Number","923869"
"TII03C01","Passenger Journeys","2020W08","2020 Week 08","1","Red line","Number","461085"
"TII03C01","Passenger Journeys","2020W08","2020 Week 08","2","Green line","Number","462784"
"TII03C01","Passenger Journeys","2020W09","2020 Week 09","-","All Luas lines","Number","898856"
"TII03C01","Passenger Journeys","2020W09","2020 Week 09","1","Red line","Number","437082"
"TII03C01","Passenger Journeys","2020W09","2020 Week 09","2","Green line","Number","461774"
"TII03C01","Passenger Journeys","2020W10","2020 Week 10","-","All Luas lines","Number","914613"
"TII03C01","Passenger Journeys","2020W10","2020 Week 10","1","Red line","Number","472655"
"TII03C01","Passenger Journeys","2020W10","2020 Week 10","2","Green line","Number","441958"
"TII03C01","Passenger Journeys","2020W11","2020 Week 11","-","All Luas lines","Number","684508"
