,Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total
707,Piercetown,Wexford,52.28785999999999,-6.48747,16,0,2,0,296,36,350
708,Piltown,Kilkenny,52.3511631,-7.331338099999999,184,2,8,2,1212,208,1616
709,Pollagh,Offaly,53.2768407,-7.709173000000001,54,0,2,0,178,18,252
710,Portarlington,Laois,53.1616096,-7.1895142,1172,18,36,650,7934,1676,11486
711,Portlaoise,Laois,53.0328123,-7.298793300000001,2156,64,84,792,20472,4610,28178
712,Portlaw,Waterford,52.28926569999999,-7.3147439,380,8,4,2,1696,332,2422
713,Portmagee,Kerry,51.8854295,-10.36194,30,0,4,0,68,30,132
714,Portmarnock,Dublin,53.418712,-6.154901499999999,724,42,16,2170,6590,2954,12496
715,Portrane,Dublin,53.49319999999999,-6.11462,166,10,8,136,1006,118,1444
716,Portroe,Tipperary,52.8847,-8.344875,62,0,6,0,454,44,566
717,Portumna,Galway,53.0927811,-8.218540599999999,32,0,6,12,1286,448,1784
718,Prosperous,Kildare,53.2881253,-6.7550083,310,6,8,34,2222,552,3132
719,Puckaun,Tipperary,52.931884,-8.2385501,24,0,0,0,222,28,274
720,Quigleys Point,Donegal,55.1248808,-7.194928300000001,52,0,0,0,192,12,256
721,Quilty,Clare,52.81725669999999,-9.4559219,6,0,0,0,176,8,190
722,Quin,Clare,52.8175778,-8.8637803,104,4,6,2,1004,190,1310
723,Raharney,Westmeath,53.5241052,-7.0960895,30,2,0,4,140,12,188
724,Ramelton,Donegal,55.03590000000001,-7.64809,204,0,6,0,1006,166,1382
725,Rampark,Louth,53.97515,-6.48617,78,0,2,4,444,80,608
726,Rann Na Feirste,Donegal,55.034738,-8.3063621,74,0,2,0,324,30,430
727,Raphoe,Donegal,54.8738705,-7.5994379,50,0,10,0,784,246,1090
728,Rathangan,Kildare,53.2210179,-6.9945422,98,10,8,94,3268,784,4262
729,Rathard-Aherla,Cork,51.8536728,-8.732601899999999,106,0,6,0,736,18,866
730,Rathcoffey,Kildare,53.3342027,-6.678636200000001,56,0,2,12,314,64,448
731,Rathcoole,Cork,52.0942583,-8.974065099999999,42,0,2,2,218,36,300
732,Rathcoole,Dublin,53.2817307,-6.466167,422,32,16,148,4636,2108,7362
733,Rathcormac,Cork,52.07613,-8.28176,388,6,10,4,1890,518,2816
734,Rathdowney,Laois,52.8555198,-7.584797300000001,54,0,4,24,1164,408,1654
735,Rathdrum,Wicklow,52.93231230000001,-6.231101199999999,80,6,8,110,1974,614,2792
736,Rathkeale,Limerick,52.5225255,-8.9403655,32,0,10,0,590,312,944
737,Rathmolyon,Meath,53.488177,-6.8036692,84,0,4,12,502,24,626
738,Rathmore,Kerry,52.0842484,-9.2184337,126,2,6,12,868,40,1054
739,Rathmullan,Donegal,55.0970707,-7.5363061,50,0,4,2,386,82,524
740,Rathnew,Wicklow,52.9946004,-6.082812,276,12,22,44,3490,818,4662
741,Rathowen,Westmeath,53.656076,-7.5203959,32,0,2,0,132,36,202
742,Rathtoe,Carlow,52.835854,-6.932474399999999,42,2,0,4,352,50,450
743,Rathvilly,Carlow,52.87983449999999,-6.6960481,138,2,8,0,1012,146,1306
744,Ratoath,Meath,53.5062898,-6.465680099999999,1544,32,18,116,9354,3642,14706
745,Rear Cross,Tipperary,52.6863722,-8.2370086,20,0,6,0,114,36,176
746,Redcross,Wicklow,52.88974400000001,-6.1452741,60,0,0,8,218,38,324
747,Rhode,Offaly,53.3499888,-7.198962900000001,156,0,4,0,712,82,954
748,Ringaskiddy-Loughbeg,Cork,51.83042829999999,-8.3219487,62,0,8,2,648,86,806
749,Rivermeade,Dublin,53.45355,-6.28999,132,0,2,0,354,116,604
750,Riverstick,Cork,51.773023,-8.4960524,238,2,0,2,888,34,1164
751,Riverstown,Sligo,54.1304398,-8.3952507,38,0,4,2,376,58,478
752,Robertstown,Kildare,53.269268,-6.815316399999999,86,2,4,6,792,72,962
753,Robinstown,Meath,53.5946777,-6.7280973,74,0,4,2,396,108,584
754,Rochfortbridge,Westmeath,53.4146417,-7.2996835,136,0,24,6,1194,468,1828
755,Rockcorry,Monaghan,54.1178982,-7.0148381,46,2,4,0,264,46,362
756,Roosky,Leitrim,53.827075,-7.9168239,94,0,4,12,654,110,874
757,Roscommon,Roscommon,53.63401649999999,-8.181945899999999,254,10,32,70,5814,1560,7740
758,Roscrea,Tipperary,52.9551789,-7.798469600000001,388,8,52,22,4808,1314,6592
759,Rosegreen,Tipperary,52.469442,-7.8327776,22,0,0,0,216,34,272
760,Rosscahill,Galway,53.38712,-9.24623,38,0,0,0,392,30,460
761,Rosscarbery,Cork,51.57767,-9.038,14,2,4,0,566,108,694
762,Rosses Point,Sligo,54.3047546,-8.5640206,68,2,0,8,764,118,960
763,Rosslare,Wexford,52.2720275,-6.3892254,218,2,8,32,1470,210,1940
764,Rosslare Harbour,Wexford,52.2513061,-6.3414908,342,2,24,8,1712,258,2346
765,Roundstone,Galway,53.39642079999999,-9.9190184,32,0,2,0,124,30,188
766,Roundwood,Wicklow,53.0657875,-6.2241877,204,4,4,8,778,224,1222
767,Rush,Dublin,53.5256684,-6.0911586,1790,56,62,1052,8350,2900,14210
768,Saggart,Dublin,53.284435,-6.440534599999999,346,30,2,418,2792,834,4422
769,Saleen,Cork,51.8637224,-8.161825799999999,86,2,2,10,658,72,830
770,Sallins,Kildare,53.251067,-6.6652312,1018,28,18,1018,5270,1454,8806
771,Scarriff-Tuamgraney,Clare,52.8985172,-8.541013,18,0,6,0,470,172,666
772,Schull,Cork,51.526867,-9.5479801,14,4,6,0,432,180,636
773,Scotshouse,Monaghan,54.1226216,-7.2471111,74,0,0,0,316,42,432
774,Scotstown,Monaghan,54.2778889,-7.066951400000001,68,2,0,6,490,32,598
775,Shanagarry,Cork,51.8527122,-8.0299249,90,2,8,12,700,78,890
776,Shanagolden,Limerick,52.5746155,-9.1004049,12,0,0,0,130,8,150
777,Shanbally,Cork,51.8334141,-8.3570879,32,2,0,0,402,68,504
778,Shanballymore,Cork,52.2187977,-8.4759914,30,0,2,4,166,38,240
779,Shannon,Clare,52.71178219999999,-8.8783365,696,34,38,12,8318,3710,12808
780,Shannonbridge,Offaly,53.279632,-8.044721299999999,36,0,0,0,98,6,140
781,Shercock,Cavan,53.9950108,-6.8979854,70,0,2,2,500,212,786
782,Shillelagh,Wicklow,52.7545156,-6.533460499999999,36,0,0,0,376,52,464
783,Shinrone,Offaly,52.9844035,-7.9245622,82,0,6,4,498,108,698
784,Shrule,Mayo,53.5202745,-9.0883693,50,0,0,0,364,32,446
785,Silvermines,Tipperary,52.79436099999999,-8.2366272,36,2,2,0,280,26,346
786,Sixmilebridge,Clare,52.7420054,-8.772400500000002,446,10,18,46,2966,478,3964
787,Skerries,Dublin,53.5805519,-6.1078779,606,34,26,2244,6622,3734,13266
788,Skibbereen,Cork,51.55592439999999,-9.2621303,68,2,12,2,2382,880,3346
789,Slane,Meath,53.7086474,-6.543651199999999,340,2,6,2,1192,276,1818
790,Slieverue,Kilkenny,52.2828142,-7.0689659,50,2,2,2,424,66,546
791,Sligo,Sligo,54.27661029999999,-8.4760888,978,60,50,102,14140,7430,22760
792,Smithborough,Monaghan,54.2213027,-7.0981545,80,0,2,0,550,52,684
793,Sneem,Kerry,51.8373942,-9.8983245,46,0,0,0,184,146,376
794,Spa,Kerry,52.27538999999999,-9.7885,6,0,0,6,380,40,432
795,Spanish Point,Clare,52.8466428,-9.4397015,8,0,0,10,220,16,254
796,St. Johnston,Donegal,54.93468,-7.461359999999999,90,0,0,0,410,76,576
797,Stamullen,Meath,53.63023,-6.26834,614,4,10,202,3982,870,5682
798,Stoneyford,Kilkenny,52.5370387,-7.229316900000001,14,0,0,2,252,26,294
799,Stradbally,Laois,53.01579830000001,-7.149471699999999,186,0,10,18,1126,200,1540
800,Stradbally,Waterford,52.1313569,-7.4608978,54,0,0,0,516,30,600
801,Straffan,Kildare,53.3118851,-6.608824800000001,132,2,0,28,1148,260,1570
802,Strandhill,Sligo,54.26999009999999,-8.598940299999999,134,2,4,16,1956,318,2430
803,Stratford,Wicklow,52.9878852,-6.675076499999999,12,0,0,0,214,36,262
804,Strokestown,Roscommon,53.7758666,-8.1035319,46,0,2,2,620,194,864
805,Summerhill,Meath,53.4813655,-6.732514699999999,180,2,10,14,894,106,1206
806,Suncroft,Kildare,53.1075785,-6.8613827,50,2,0,8,370,70,500
807,Swanlinbar,Cavan,54.1937636,-7.7047113,24,0,6,0,114,94,238
808,Swinford,Mayo,53.9437021,-8.950006,44,0,4,2,1068,386,1504
809,Swords,Dublin,53.4557467,-6.219740600000001,10364,282,90,422,32242,10730,54130
810,Taghmon,Wexford,52.3229838,-6.6546699,112,0,12,0,430,152,706
811,Tagoat,Wexford,52.2454387,-6.388300099999999,88,0,2,2,508,56,656
812,Tallanstown,Louth,53.9200662,-6.5471834,110,0,0,8,634,134,886
813,Tallow,Waterford,52.09214069999999,-8.007030199999999,166,0,4,0,712,258,1140
814,Tarbert,Kerry,52.5724738,-9.3745372,10,0,2,0,360,148,520
815,Templemore,Tipperary,52.794802,-7.839860900000001,34,8,12,54,1582,620,2310
816,Templetuohy,Tipperary,52.78847,-7.721649999999999,24,0,0,0,212,40,276
817,Termonbarry,Roscommon,53.7422919,-7.920643500000001,82,4,2,10,772,46,916
818,Termonfeckin,Louth,53.76101389999999,-6.271843199999999,298,4,8,40,1942,198,2490
819,The Ballagh,Wexford,52.47257,-6.43323,62,0,6,0,574,50,692
820,The Commons,Tipperary,52.6272156,-7.546653200000001,8,2,0,4,104,34,152
821,The Swan,Laois,52.88901000000001,-7.160559999999999,48,0,0,4,270,32,354
822,Thomastown,Kilkenny,52.5264574,-7.1383205,150,4,14,34,2110,590,2902
823,Three Mile House,Monaghan,54.21667,-7.042671299999999,22,0,2,0,130,20,174
824,Thurles,Tipperary,52.6801064,-7.8044421,184,10,34,184,6750,2124,9286
825,Tievebane,Donegal,55.0630284,-7.429459,70,2,6,2,490,46,616
826,Timoleague,Cork,51.6432296,-8.766188699999999,46,0,0,0,266,176,488
827,Tinahely,Wicklow,52.7997634,-6.463184399999999,184,4,10,4,902,142,1246
828,Tinryland,Carlow,52.7969671,-6.8957413,40,0,8,4,338,30,420
829,Tinure,Louth,53.79188,-6.419,142,0,0,8,490,122,762
830,Tipperary,Tipperary,52.47363910000001,-8.1617622,150,8,20,76,3982,1458,5694
831,Toomevara,Tipperary,52.85071629999999,-8.0350506,24,0,0,0,186,56,266
832,Toornafulla,Limerick,52.36463999999999,-9.15285,28,0,0,0,218,20,266
833,Tower,Cork,51.92518,-8.60797,322,4,2,0,3950,148,4426
834,Tralee,Kerry,52.2713096,-9.6999325,1118,48,70,90,19390,6268,26984
835,Tramore,Waterford,52.16143539999999,-7.1492952,818,30,28,48,10600,2378,13902
836,Trim,Meath,53.5523666,-6.7866474,1174,18,30,46,8642,2302,12212
837,Tuam,Galway,53.5141156,-8.8565177,670,22,34,14,8108,2162,11010
838,Tubbercurry,Sligo,54.0552258,-8.7298236,160,6,14,8,1916,410,2514
839,Tulla,Clare,52.8692148,-8.7607816,28,0,6,4,684,180,902
840,Tullaghan,Leitrim,54.468449,-8.3290498,12,0,4,0,312,12,340
841,Tullamore,Offaly,53.2752768,-7.4924439,1274,28,52,446,12244,3828,17872
842,Tullow,Carlow,52.802547,-6.7371517,278,0,20,16,4516,1304,6134
843,Tullyallen,Louth,53.73661,-6.42244,388,6,4,28,1674,370,2470
844,Tulsk,Roscommon,53.7799868,-8.2560526,22,0,2,4,184,20,232
845,Turlough,Mayo,53.8841074,-9.2124764,36,0,2,0,572,8,618
