Town,County,Latitude,Longitude,Bus,Motorcycle,Other,Rail,Car,Bicyle / On Foot,Total
Carrigkerry,Limerick,52.49449,-9.1486153,26,0,0,0,154,20,200
Carrignavar,Cork,51.9891078,-8.477924,4,0,2,4,636,114,760
Carrigtwohill,Cork,51.9094919,-8.2589402,396,32,12,186,5990,1530,8146
Carrowkeel,Donegal,55.137713,-7.6638757,62,0,0,0,274,68,404
Cashel,Tipperary,52.5159097,-7.8915829,166,4,20,22,3842,1466,5520
Castlebar,Mayo,53.8550014,-9.2879257,460,12,46,52,11318,3494,15382
Castlebellingham-Kilsaran,Louth,53.89811,-6.3895,150,6,4,8,962,134,1264
Castleblayney,Monaghan,54.120659,-6.7397374,178,6,24,10,3394,1050,4662
Castlebridge,Wexford,52.3824281,-6.4502872,176,6,4,6,1956,250,2398
Castlecomer,Kilkenny,52.8052843,-7.2103127,66,2,0,6,1230,328,1632
Castleconnell,Limerick,52.7129297,-8.5000525,350,8,18,16,2466,320,3178
Castledermot,Kildare,52.9118755,-6.837567,62,0,16,18,1506,450,2052
Castlefinn,Donegal,54.802999,-7.5895814,152,0,8,2,514,104,780
Castlegregory,Kerry,52.2534651,-10.0207218,12,2,4,2,352,62,434
Castleisland,Kerry,52.2328974,-9.4601492,84,0,16,4,2208,476,2788
Castlelyons,Cork,52.0885669,-8.233699,70,0,0,0,484,14,568
Castlemagner,Cork,51.8985143,-8.4756035,42,0,8,6,452,2,510
Castlemaine,Kerry,52.1684322,-9.7014756,6,0,2,0,184,12,204
Castlemartyr,Cork,51.9119477,-8.0535486,286,4,10,6,1402,390,2098
Castlepollard,Westmeath,53.6800722,-7.2964508,56,0,6,4,1052,310,1428
Castlerea,Roscommon,53.7686571,-8.4924537,104,6,22,38,1510,336,2016
Castletown,Laois,52.9774693,-7.4995604,46,0,2,4,422,70,544
Castletown Geoghegan,Westmeath,53.4462801,-7.4876069,38,0,2,4,274,30,348
Castletownbere,Cork,51.6514954,-9.9103302,12,0,4,0,756,384,1156
Castletownroche,Cork,52.1731113,-8.4634479,40,0,6,4,384,114,548
Castletownshend,Cork,51.5265757,-9.1793869,6,0,2,2,126,14,150
Causeway,Kerry,52.414422,-9.7330771,2,0,2,0,184,30,218
Cavan,Cavan,53.9897186,-7.3633319,846,20,48,26,10680,2234,13854
Celbridge,Kildare,53.3383911,-6.5397633,3912,124,34,892,16910,5594,27466
Charlestown-Bellahy,Mayo,53.964167,-8.795278,54,0,12,2,1072,322,1462
Charleville,Cork,52.3556889,-8.6840314,182,10,16,12,3144,968,4332
Cheekpoint,Waterford,52.2698641,-7.0009247,20,0,6,4,242,10,282
Churchtown,Cork,52.2713057,-8.7308692,60,0,0,16,570,162,808
Cill Charthaigh,Donegal,54.6323944,-8.5894621,54,0,2,0,344,50,450
Cill Rónáin,Galway,53.1232125,-9.6703728,16,0,4,2,114,96,232
Clane,Kildare,53.293785,-6.6870404,946,24,18,178,7760,2064,10990
Clara,Offaly,53.3425103,-7.6134801,184,4,14,80,3092,654,4028
Claremorris,Mayo,53.7238764,-9.0017356,474,16,6,26,3320,736,4578
Clarina,Limerick,52.63209,-8.73269,42,0,2,0,682,36,762
Clarinbridge,Galway,53.2293077,-8.8773824,112,0,4,8,994,88,1206
Clashmore,Waterford,52.0093569,-7.8188756,54,2,0,0,256,46,358
Clifden,Galway,53.4891345,-10.0202388,64,0,6,6,712,504,1292
Cliffony,Sligo,54.430559,-8.4534324,52,2,6,0,454,58,572
Clogh,Kilkenny,52.8710161,-7.1642467,42,0,4,2,274,14,336
Cloghan,Offaly,53.2252399,-7.8825143,76,0,8,2,590,74,750
Clogheen,Tipperary,52.2770794,-7.9951028,60,4,0,0,418,62,544
Clogherhead,Louth,53.7916777,-6.2388506,482,2,22,36,2056,518,3116
Cloghfin,Donegal,54.653827,-8.1096142,20,0,0,0,120,4,144
Clonakilty,Cork,51.6203379,-8.9055104,204,10,12,8,4000,1796,6030
Clonard,Meath,53.4515329,-7.0231073,78,2,2,6,326,24,438
Clonaslee,Laois,53.1486014,-7.5243696,20,2,4,4,632,84,746
Clonbullogue,Offaly,53.2606831,-7.086431,46,2,2,6,314,58,428
Clondrohid,Cork,51.9292332,-9.0227675,22,0,2,0,212,18,254
Clondulane,Cork,52.1421634,-8.2203365,4,2,2,0,554,96,658
Clonee,Meath,53.4105621,-6.4426,200,16,2,48,1060,200,1526
Clonegall,Carlow,52.6948009,-6.6477303,10,0,6,0,202,60,278
Clones,Monaghan,54.1796829,-7.2306671,72,2,10,4,1258,818,2164
Clongeen,Wexford,52.2978897,-6.7727531,46,0,0,2,212,22,282
Clonlara,Clare,52.7238329,-8.5528365,52,0,4,2,840,118,1016
Clonmany,Donegal,55.2628052,-7.4116108,104,0,6,2,438,58,608
Clonmel,Tipperary,52.3623523,-7.7007084,756,50,46,32,16448,3590,20922
Clonmellon,Westmeath,53.6640717,-7.0183933,102,0,8,4,670,136,920
Clonroche,Wexford,52.4496872,-6.7174157,30,0,0,0,212,62,304
Clontibret,Monaghan,54.2054431,-6.8415402,40,0,0,2,216,32,290
Clonygowan,Offaly,53.1874518,-7.2804446,32,0,4,20,306,74,436
Cloonfad,Roscommon,53.6867556,-8.75182,26,0,6,0,378,70,480
Cloontuskert,Roscommon,53.7060686,-8.0028889,10,2,0,2,180,16,210
Cloughduv,Cork,51.8473203,-8.7880041,68,0,2,0,450,88,608
Cloughjordan,Tipperary,52.9429442,-8.0383372,128,2,8,14,392,228,772
Cloyne,Cork,51.8630971,-8.121237,306,12,12,30,1926,388,2674
Cluain Bú,Galway,53.5137007,-8.6601381,88,0,4,0,498,8,598
Coachford,Cork,51.909471,-8.7889601,12,0,2,0,416,140,570
Cobh,Cork,51.8530415,-8.2950905,1398,30,116,606,12322,3338,17810
Coill Dubh (Blackwood),Kildare,53.2931573,-6.8185844,234,6,4,10,1402,198,1854
Collinstown,Westmeath,53.6474715,-7.21216,36,2,0,0,304,66,408
Collon,Louth,53.7777425,-6.4840991,242,0,2,4,732,188,1168
