time,price
1259557200,2.814
1260162000,2.835
1260766800,2.813
1261371600,2.792
1261976400,2.799
1262581200,2.83
1263186000,2.904
1263790800,2.902
1264395600,2.898
1265000400,2.879
1265605200,2.86
1266210000,2.817
1266814800,2.824
1267419600,2.846
1268024400,2.874
1268625600,2.917
1269230400,2.925
1269835200,2.914
1270440000,2.969
1271044800,2.963
1271649600,2.97
1272254400,2.981
1272859200,3.017
1273464000,2.999
1274068800,2.978
1274673600,2.929
1275278400,2.883
1275883200,2.842
1276488000,2.802
1277092800,2.843
1277697600,2.834
1278302400,2.796
1278907200,2.792
1279512000,2.764
1280116800,2.792
1280721600,2.815
1281326400,2.837
1281931200,2.811
1282536000,2.789
1283140800,2.759
1283745600,2.73
1284350400,2.762
1284955200,2.74
1285560000,2.741
1286164800,2.842
1286769600,2.944
1287374400,2.988
1287979200,2.986
1288584000,2.977
1289192400,2.984
1289797200,3.057
1290402000,3.101
1291006800,3.107
1291611600,3.163
1292216400,3.212
1292821200,3.216
1293426000,3.247
1294030800,3.266
1294635600,3.278
1295240400,3.311
1295845200,3.309
1296450000,3.302
1297054800,3.323
1297659600,3.327
1298264400,3.36
1298869200,3.515
1299474000,3.67
1300075200,3.706
1300680000,3.694
1301284800,3.725
1301889600,3.829
1302494400,3.92
1303099200,3.99
1303704000,4.008
1304308800,4.073
1304913600,4.067
1305518400,4.052
1306123200,3.982
1306728000,3.942
1307332800,3.916
1307937600,3.87
1308542400,3.846
1309147200,3.793
1309752000,3.761
1310356800,3.78
1310961600,3.847
1311566400,3.876
1312171200,3.887
1312776000,3.856
1313380800,3.809
1313985600,3.77
1314590400,3.738
1315195200,3.816
1315800000,3.82
1316404800,3.77
1317009600,3.734
1317614400,3.666
1318219200,3.637
1318824000,3.665
1319428800,3.653
1320033600,3.643
1320642000,3.62
1321246800,3.614
1321851600,3.582
1322456400,3.557
1323061200,3.527
1323666000,3.5
1324270800,3.487
1324875600,3.466
1325480400,3.497
1326085200,3.573
1326690000,3.625
1327294800,3.638
1327899600,3.706
1328504400,3.723
1329109200,3.776
1329714000,3.82
1330318800,3.907
1330923600,3.946
1331524800,3.929
1332129600,3.977
1332734400,4.03
1333339200,4.075
1333944000,4.117
1334548800,4.094
1335153600,4.083
1335758400,4.04
1336363200,3.952
1336968000,3.926
1337572800,3.874
1338177600,3.817
1338782400,3.775
1339387200,3.689
1339992000,3.633
1340596800,3.559
1341201600,3.527
1341806400,3.561
1342411200,3.601
1343016000,3.668
1343620800,3.665
1344225600,3.711
1344830400,3.821
1345435200,3.841
1346040000,3.889
1346644800,3.953
1347249600,3.986
1347854400,4.101
1348459200,4.065
1349064000,4.073
1349668800,4.093
1350273600,4.076
1350878400,4.007
1351483200,3.938
1352091600,3.894
1352696400,3.864
1353301200,3.845
1353906000,3.828
1354510800,3.808
1355115600,3.754
1355720400,3.711
1356325200,3.669
1356930000,3.677
1357534800,3.682
1358139600,3.682
1358744400,3.677
1359349200,3.708
1359954000,3.836
1360558800,3.909
1361163600,3.95
1361768400,3.984
1362373200,3.925
1362974400,3.91
1363579200,3.881
1364184000,3.867
1364788800,3.827
1365393600,3.8
1365998400,3.757
1366603200,3.698
1367208000,3.668
1367812800,3.635
1368417600,3.668
1369022400,3.668
1369627200,3.674
1370232000,3.659
1370836800,3.656
1371441600,3.66
1372046400,3.666
1372651200,3.632
1373256000,3.658
1373860800,3.804
1374465600,3.836
1375070400,3.871
1375675200,3.845
1376280000,3.821
1376884800,3.797
1377489600,3.789
1378094400,3.824
1378699200,3.812
1379304000,3.796
1379908800,3.751
1380513600,3.682
1381118400,3.667
1381723200,3.628
1382328000,3.598
1382932800,3.57
1383541200,3.539
1384146000,3.523
1384750800,3.539
1385355600,3.581
1385960400,3.617
1386565200,3.638
1387170000,3.647
1387774800,3.649
1388379600,3.672
1388984400,3.683
1389589200,3.661
1390194000,3.643
1390798800,3.625
1391403600,3.619
1392008400,3.587
1392613200,3.633
1393218000,3.709
1393822800,3.734
1394424000,3.744
1395028800,3.739
1395633600,3.732
1396238400,3.731
1396843200,3.732
1397448000,3.75
1398052800,3.804
1398657600,3.834
1399262400,3.844
1399867200,3.836
1400472000,3.812
1401076800,3.811
1401681600,3.785
1402286400,3.786
1402891200,3.789
1403496000,3.811
1404100800,3.829
1404705600,3.838
1405310400,3.815
1405915200,3.795
1406520000,3.748
1407124800,3.727
1407729600,3.688
1408334400,3.678
1408939200,3.651
1409544000,3.634
1410148800,3.634
1410753600,3.598
1411358400,3.564
1411963200,3.549
1412568000,3.494
