Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,DailyChange,PriceTrend
12/03/1984,0,0.689046413,0.682086349,0.682086349,2006400,0,0,1984,3,12,0.682086349,Up
13/03/1984,0,0.702966542,0.696006477,0.696006477,2299600,0,0,1984,3,13,0.696006477,Up
14/03/1984,0,0.696006267,0.689046204,0.689046204,1350000,0,0,1984,3,14,0.689046204,Up
15/03/1984,0,0.702966542,0.696006477,0.696006477,576400,0,0,1984,3,15,0.696006477,Up
16/03/1984,0,0.696006267,0.689046204,0.689046204,1049200,0,0,1984,3,16,0.689046204,Up
19/03/1984,0,0.675126104,0.668166041,0.668166041,884800,0,0,1984,3,19,0.668166041,Up
20/03/1984,0,0.689046413,0.682086349,0.682086349,871600,0,0,1984,3,20,0.682086349,Up
21/03/1984,0,0.689046413,0.682086349,0.682086349,1156800,0,0,1984,3,21,0.682086349,Up
22/03/1984,0,0.675126104,0.668166041,0.668166041,1320000,0,0,1984,3,22,0.668166041,Up
23/03/1984,0,0.682086199,0.675126135,0.675126135,469600,0,0,1984,3,23,0.675126135,Up
26/03/1984,0,0.675126104,0.668166041,0.668166041,1398400,0,0,1984,3,26,0.668166041,Up
27/03/1984,0,0.675126104,0.668166041,0.668166041,919600,0,0,1984,3,27,0.668166041,Up
28/03/1984,0,0.682086199,0.675126135,0.675126135,742000,0,0,1984,3,28,0.675126135,Up
29/03/1984,0,0.682086199,0.675126135,0.675126135,503600,0,0,1984,3,29,0.675126135,Up
30/03/1984,0,0.675126104,0.668166041,0.668166041,594000,0,0,1984,3,30,0.668166041,Up
02/04/1984,0,0.661206036,0.654245973,0.654245973,413600,0,0,1984,4,2,0.654245973,Up
03/04/1984,0,0.640325814,0.63336575,0.63336575,604800,0,0,1984,4,3,0.63336575,Up
04/04/1984,0,0.661206036,0.654245973,0.654245973,1694800,0,0,1984,4,4,0.654245973,Up
05/04/1984,0,0.640325814,0.63336575,0.63336575,892000,0,0,1984,4,5,0.63336575,Up
06/04/1984,0,0.654246062,0.647285998,0.647285998,838000,0,0,1984,4,6,0.647285998,Up
09/04/1984,0,0.66816607,0.661206007,0.661206007,1608800,0,0,1984,4,9,0.661206007,Up
10/04/1984,0,0.675126104,0.668166041,0.668166041,2154800,0,0,1984,4,10,0.668166041,Up
11/04/1984,0,0.675126104,0.668166041,0.668166041,1040800,0,0,1984,4,11,0.668166041,Up
12/04/1984,0,0.682086199,0.675126135,0.675126135,981600,0,0,1984,4,12,0.675126135,Up
13/04/1984,0,0.696006267,0.689046204,0.689046204,2201200,0,0,1984,4,13,0.689046204,Up
16/04/1984,0,0.689046413,0.682086349,0.682086349,732400,0,0,1984,4,16,0.682086349,Up
17/04/1984,0,0.696006267,0.689046204,0.689046204,1236800,0,0,1984,4,17,0.689046204,Up
18/04/1984,0,0.696006267,0.689046204,0.689046204,2050400,0,0,1984,4,18,0.689046204,Up
19/04/1984,0,0.689046413,0.682086349,0.682086349,651200,0,0,1984,4,19,0.682086349,Up
23/04/1984,0,0.689046413,0.682086349,0.682086349,689200,0,0,1984,4,23,0.682086349,Up
24/04/1984,0,0.682086199,0.675126135,0.675126135,831200,0,0,1984,4,24,0.675126135,Up
25/04/1984,0,0.682086199,0.675126135,0.675126135,930000,0,0,1984,4,25,0.675126135,Up
26/04/1984,0,0.689046413,0.682086349,0.682086349,934000,0,0,1984,4,26,0.682086349,Up
27/04/1984,0,0.689046413,0.682086349,0.682086349,1081600,0,0,1984,4,27,0.682086349,Up
