Year,Month,TotalVolume,MaxHigh,MinLow,AvgClose
2002,6,25411900,15.49,13.69,14.54
2005,1,30575000,18.58,17.25,17.8
2019,2,58918800,32.47,30.38,31.72
2003,11,19027600,17.9,16.06,17.05
2016,9,57870900,30.82,29.41,30.01
1985,10,41834400,1.18,1.02,1.07
2005,8,23206800,19.5,18.8,19.13
2022,3,121605400,40.71,36.27,38.9
2005,3,45342600,20.46,17.91,18.81
2010,9,42723200,20.2,19.12,19.75
2011,2,55068800,20.14,18.54,19.49
2001,2,16434700,19.48,18.06,18.71
2024,2,96500400,42.69,39.46,41.5
2001,7,15113500,20.0,18.87,19.51
2008,11,32653300,18.33,14.09,16.42
1989,10,14419800,2.87,2.44,2.67
1994,2,37559800,5.51,4.82,5.18
2009,12,27241400,20.78,19.75,20.24
2020,12,89522700,32.88,30.84,31.92
1985,6,26234800,0.93,0.88,0.91
1991,9,42150200,6.19,5.67,5.92
1999,9,5102900,18.4,16.85,17.47
1981,7,399200,0.21,0.19,0.2
1981,12,221600,0.24,0.21,0.22
1992,3,56440900,7.42,6.6,6.97
2002,9,20296700,14.41,12.54,13.5
2004,2,44645300,17.05,15.8,16.5
2011,4,53003900,22.38,19.69,20.93
1999,5,10465500,19.79,17.63,18.73
2018,5,50074100,31.02,29.58,30.33
2023,3,67114400,34.35,31.91,33.09
2021,12,79446900,40.61,37.38,39.28
2011,12,45321000,24.36,23.21,23.9
2015,11,66564600,27.98,25.97,26.86
1988,4,16053400,2.18,1.97,2.08
1993,1,46552700,6.28,5.28,5.7
2011,8,101555800,23.24,20.34,22.0
2016,10,68359600,30.44,27.42,28.92
2021,7,81279000,36.11,34.55,35.41
1980,10,63200,0.17,0.14,0.16
1996,6,15140700,8.29,7.54,7.87
2009,10,33220000,19.92,18.09,19.06
2015,9,76651500,26.55,24.07,25.56
1995,7,14365900,6.99,6.6,6.79
1993,8,37520600,4.74,3.88,4.33
2009,9,25708000,19.01,18.14,18.51
2023,2,81181600,35.06,32.94,33.89
1983,12,26614400,0.61,0.55,0.57
1996,7,50142200,8.52,7.92,8.22
1997,2,13469300,10.49,9.77,10.16
2023,11,73614100,35.66,33.02,34.45
1989,4,9419600,2.8,2.58,2.69
