,STATISTIC,Statistic Label,TLIST(Q1),Quarter,C02196V02652,State,UNIT,VALUE,Year,Quarter No
83,NAQ03C01,GVA at Constant Basic Prices,20154,2015Q4,-,State,Euro Million,67045,2015,4
84,NAQ03C01,GVA at Constant Basic Prices,20161,2016Q1,-,State,Euro Million,61875,2016,1
85,NAQ03C01,GVA at Constant Basic Prices,20162,2016Q2,-,State,Euro Million,62874,2016,2
86,NAQ03C01,GVA at Constant Basic Prices,20163,2016Q3,-,State,Euro Million,64387,2016,3
87,NAQ03C01,GVA at Constant Basic Prices,20164,2016Q4,-,State,Euro Million,73471,2016,4
88,NAQ03C01,GVA at Constant Basic Prices,20171,2017Q1,-,State,Euro Million,66463,2017,1
89,NAQ03C01,GVA at Constant Basic Prices,20172,2017Q2,-,State,Euro Million,68667,2017,2
90,NAQ03C01,GVA at Constant Basic Prices,20173,2017Q3,-,State,Euro Million,74257,2017,3
91,NAQ03C01,GVA at Constant Basic Prices,20174,2017Q4,-,State,Euro Million,78835,2017,4
92,NAQ03C01,GVA at Constant Basic Prices,20181,2018Q1,-,State,Euro Million,74824,2018,1
93,NAQ03C01,GVA at Constant Basic Prices,20182,2018Q2,-,State,Euro Million,77612,2018,2
94,NAQ03C01,GVA at Constant Basic Prices,20183,2018Q3,-,State,Euro Million,79645,2018,3
95,NAQ03C01,GVA at Constant Basic Prices,20184,2018Q4,-,State,Euro Million,81807,2018,4
96,NAQ03C01,GVA at Constant Basic Prices,20191,2019Q1,-,State,Euro Million,77801,2019,1
97,NAQ03C01,GVA at Constant Basic Prices,20192,2019Q2,-,State,Euro Million,80730,2019,2
98,NAQ03C01,GVA at Constant Basic Prices,20193,2019Q3,-,State,Euro Million,84798,2019,3
99,NAQ03C01,GVA at Constant Basic Prices,20194,2019Q4,-,State,Euro Million,86755,2019,4
100,NAQ03C01,GVA at Constant Basic Prices,20201,2020Q1,-,State,Euro Million,86498,2020,1
101,NAQ03C01,GVA at Constant Basic Prices,20202,2020Q2,-,State,Euro Million,83341,2020,2
102,NAQ03C01,GVA at Constant Basic Prices,20203,2020Q3,-,State,Euro Million,95586,2020,3
103,NAQ03C01,GVA at Constant Basic Prices,20204,2020Q4,-,State,Euro Million,91344,2020,4
104,NAQ03C01,GVA at Constant Basic Prices,20211,2021Q1,-,State,Euro Million,96746,2021,1
105,NAQ03C01,GVA at Constant Basic Prices,20212,2021Q2,-,State,Euro Million,101138,2021,2
106,NAQ03C01,GVA at Constant Basic Prices,20213,2021Q3,-,State,Euro Million,107247,2021,3
107,NAQ03C01,GVA at Constant Basic Prices,20214,2021Q4,-,State,Euro Million,104256,2021,4
108,NAQ03C01,GVA at Constant Basic Prices,20221,2022Q1,-,State,Euro Million,104768,2022,1
109,NAQ03C01,GVA at Constant Basic Prices,20222,2022Q2,-,State,Euro Million,111260,2022,2
110,NAQ03C01,GVA at Constant Basic Prices,20223,2022Q3,-,State,Euro Million,117834,2022,3
111,NAQ03C01,GVA at Constant Basic Prices,20224,2022Q4,-,State,Euro Million,116354,2022,4
112,NAQ03C01,GVA at Constant Basic Prices,20231,2023Q1,-,State,Euro Million,106301,2023,1
113,NAQ03C01,GVA at Constant Basic Prices,20232,2023Q2,-,State,Euro Million,110557,2023,2
114,NAQ03C02,Taxes on Products,19951,1995Q1,-,State,Euro Million,2470,1995,1
115,NAQ03C02,Taxes on Products,19952,1995Q2,-,State,Euro Million,2646,1995,2
116,NAQ03C02,Taxes on Products,19953,1995Q3,-,State,Euro Million,2731,1995,3
117,NAQ03C02,Taxes on Products,19954,1995Q4,-,State,Euro Million,2840,1995,4
118,NAQ03C02,Taxes on Products,19961,1996Q1,-,State,Euro Million,2747,1996,1
119,NAQ03C02,Taxes on Products,19962,1996Q2,-,State,Euro Million,2925,1996,2
120,NAQ03C02,Taxes on Products,19963,1996Q3,-,State,Euro Million,3015,1996,3
121,NAQ03C02,Taxes on Products,19964,1996Q4,-,State,Euro Million,3141,1996,4
122,NAQ03C02,Taxes on Products,19971,1997Q1,-,State,Euro Million,3129,1997,1
123,NAQ03C02,Taxes on Products,19972,1997Q2,-,State,Euro Million,3332,1997,2
124,NAQ03C02,Taxes on Products,19973,1997Q3,-,State,Euro Million,3433,1997,3
125,NAQ03C02,Taxes on Products,19974,1997Q4,-,State,Euro Million,3540,1997,4
126,NAQ03C02,Taxes on Products,19981,1998Q1,-,State,Euro Million,3501,1998,1
127,NAQ03C02,Taxes on Products,19982,1998Q2,-,State,Euro Million,3700,1998,2
128,NAQ03C02,Taxes on Products,19983,1998Q3,-,State,Euro Million,3801,1998,3
129,NAQ03C02,Taxes on Products,19984,1998Q4,-,State,Euro Million,3949,1998,4
130,NAQ03C02,Taxes on Products,19991,1999Q1,-,State,Euro Million,3949,1999,1
131,NAQ03C02,Taxes on Products,19992,1999Q2,-,State,Euro Million,4178,1999,2
132,NAQ03C02,Taxes on Products,19993,1999Q3,-,State,Euro Million,4289,1999,3
133,NAQ03C02,Taxes on Products,19994,1999Q4,-,State,Euro Million,4417,1999,4
134,NAQ03C02,Taxes on Products,20001,2000Q1,-,State,Euro Million,4996,2000,1
135,NAQ03C02,Taxes on Products,20002,2000Q2,-,State,Euro Million,4197,2000,2
136,NAQ03C02,Taxes on Products,20003,2000Q3,-,State,Euro Million,5080,2000,3
137,NAQ03C02,Taxes on Products,20004,2000Q4,-,State,Euro Million,4282,2000,4
138,NAQ03C02,Taxes on Products,20011,2001Q1,-,State,Euro Million,4882,2001,1
139,NAQ03C02,Taxes on Products,20012,2001Q2,-,State,Euro Million,3874,2001,2
140,NAQ03C02,Taxes on Products,20013,2001Q3,-,State,Euro Million,4857,2001,3
141,NAQ03C02,Taxes on Products,20014,2001Q4,-,State,Euro Million,4439,2001,4
142,NAQ03C02,Taxes on Products,20021,2002Q1,-,State,Euro Million,4970,2002,1
143,NAQ03C02,Taxes on Products,20022,2002Q2,-,State,Euro Million,4026,2002,2
