"STATISTIC","Statistic Label","TLIST(W1)","Week","C03935V04687","Mode of Transport","UNIT","VALUE"
"THA25C01","Passenger Journeys","2019W23","2019 Week 23","10","Dublin Metro Bus","Number","2591616"
"THA25C01","Passenger Journeys","2019W23","2019 Week 23","20","Bus, excluding Dublin Metro","Number","617748"
"THA25C01","Passenger Journeys","2019W23","2019 Week 23","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W23","2019 Week 23","40","All public transport, excluding LUAS","Number","3209364"
"THA25C01","Passenger Journeys","2019W24","2019 Week 24","10","Dublin Metro Bus","Number","2844409"
"THA25C01","Passenger Journeys","2019W24","2019 Week 24","20","Bus, excluding Dublin Metro","Number","669882"
"THA25C01","Passenger Journeys","2019W24","2019 Week 24","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W24","2019 Week 24","40","All public transport, excluding LUAS","Number","3514291"
"THA25C01","Passenger Journeys","2019W25","2019 Week 25","10","Dublin Metro Bus","Number","2826773"
"THA25C01","Passenger Journeys","2019W25","2019 Week 25","20","Bus, excluding Dublin Metro","Number","680777"
"THA25C01","Passenger Journeys","2019W25","2019 Week 25","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W25","2019 Week 25","40","All public transport, excluding LUAS","Number","3507550"
"THA25C01","Passenger Journeys","2019W26","2019 Week 26","10","Dublin Metro Bus","Number","2840156"
"THA25C01","Passenger Journeys","2019W26","2019 Week 26","20","Bus, excluding Dublin Metro","Number","686867"
"THA25C01","Passenger Journeys","2019W26","2019 Week 26","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W26","2019 Week 26","40","All public transport, excluding LUAS","Number","3527023"
"THA25C01","Passenger Journeys","2019W27","2019 Week 27","10","Dublin Metro Bus","Number","2953254"
"THA25C01","Passenger Journeys","2019W27","2019 Week 27","20","Bus, excluding Dublin Metro","Number","705163"
"THA25C01","Passenger Journeys","2019W27","2019 Week 27","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W27","2019 Week 27","40","All public transport, excluding LUAS","Number","3658417"
"THA25C01","Passenger Journeys","2019W28","2019 Week 28","10","Dublin Metro Bus","Number","2954091"
"THA25C01","Passenger Journeys","2019W28","2019 Week 28","20","Bus, excluding Dublin Metro","Number","713037"
"THA25C01","Passenger Journeys","2019W28","2019 Week 28","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W28","2019 Week 28","40","All public transport, excluding LUAS","Number","3667128"
"THA25C01","Passenger Journeys","2019W29","2019 Week 29","10","Dublin Metro Bus","Number","2895372"
"THA25C01","Passenger Journeys","2019W29","2019 Week 29","20","Bus, excluding Dublin Metro","Number","701340"
"THA25C01","Passenger Journeys","2019W29","2019 Week 29","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W29","2019 Week 29","40","All public transport, excluding LUAS","Number","3596712"
"THA25C01","Passenger Journeys","2019W30","2019 Week 30","10","Dublin Metro Bus","Number","2939485"
"THA25C01","Passenger Journeys","2019W30","2019 Week 30","20","Bus, excluding Dublin Metro","Number","713657"
"THA25C01","Passenger Journeys","2019W30","2019 Week 30","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W30","2019 Week 30","40","All public transport, excluding LUAS","Number","3653142"
"THA25C01","Passenger Journeys","2019W31","2019 Week 31","10","Dublin Metro Bus","Number","2725260"
"THA25C01","Passenger Journeys","2019W31","2019 Week 31","20","Bus, excluding Dublin Metro","Number","680616"
"THA25C01","Passenger Journeys","2019W31","2019 Week 31","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W31","2019 Week 31","40","All public transport, excluding LUAS","Number","3405876"
"THA25C01","Passenger Journeys","2019W32","2019 Week 32","10","Dublin Metro Bus","Number","2547806"
"THA25C01","Passenger Journeys","2019W32","2019 Week 32","20","Bus, excluding Dublin Metro","Number","616761"
"THA25C01","Passenger Journeys","2019W32","2019 Week 32","30","Rail","Number",""
"THA25C01","Passenger Journeys","2019W32","2019 Week 32","40","All public transport, excluding LUAS","Number","3164567"
"THA25C01","Passenger Journeys","2019W33","2019 Week 33","10","Dublin Metro Bus","Number","2724875"
"THA25C01","Passenger Journeys","2019W33","2019 Week 33","20","Bus, excluding Dublin Metro","Number","697890"
"THA25C01","Passenger Journeys","2019W33","2019 Week 33","30","Rail","Number",""
