"STATISTIC","Statistic Label","TLIST(A1)","CensusYear","C02199V02655","Sex","C02734V03302","Means of Travel","C02704V03272","At Work, School or College","UNIT","VALUE"
"FY081C01","Total Persons","2011","2011","1","Male","05","Motorcycle or scooter","902","Students at school or college aged between 13 and 18 years","Number","181"
"FY081C01","Total Persons","2011","2011","1","Male","05","Motorcycle or scooter","903","Students at school or college aged 19 years and over","Number","506"
"FY081C01","Total Persons","2011","2011","1","Male","06","Motor car: Driver","-06","All persons","Number","543423"
"FY081C01","Total Persons","2011","2011","1","Male","06","Motor car: Driver","904","Population aged 15 years and over at work","Number","515813"
"FY081C01","Total Persons","2011","2011","1","Male","06","Motor car: Driver","901","Children at school aged between 5 and 12 years","Number","0"
"FY081C01","Total Persons","2011","2011","1","Male","06","Motor car: Driver","902","Students at school or college aged between 13 and 18 years","Number","3584"
"FY081C01","Total Persons","2011","2011","1","Male","06","Motor car: Driver","903","Students at school or college aged 19 years and over","Number","24026"
"FY081C01","Total Persons","2011","2011","1","Male","07","Motor car: Passenger","-06","All persons","Number","245547"
"FY081C01","Total Persons","2011","2011","1","Male","07","Motor car: Passenger","904","Population aged 15 years and over at work","Number","25818"
"FY081C01","Total Persons","2011","2011","1","Male","07","Motor car: Passenger","901","Children at school aged between 5 and 12 years","Number","150818"
"FY081C01","Total Persons","2011","2011","1","Male","07","Motor car: Passenger","902","Students at school or college aged between 13 and 18 years","Number","61415"
"FY081C01","Total Persons","2011","2011","1","Male","07","Motor car: Passenger","903","Students at school or college aged 19 years and over","Number","7496"
"FY081C01","Total Persons","2011","2011","1","Male","11","Van","-06","All persons","Number","115497"
"FY081C01","Total Persons","2011","2011","1","Male","11","Van","904","Population aged 15 years and over at work","Number","113522"
"FY081C01","Total Persons","2011","2011","1","Male","11","Van","901","Children at school aged between 5 and 12 years","Number","499"
"FY081C01","Total Persons","2011","2011","1","Male","11","Van","902","Students at school or college aged between 13 and 18 years","Number","439"
"FY081C01","Total Persons","2011","2011","1","Male","11","Van","903","Students at school or college aged 19 years and over","Number","1037"
"FY081C01","Total Persons","2011","2011","1","Male","12","Other, incl. lorry","-06","All persons","Number","14514"
"FY081C01","Total Persons","2011","2011","1","Male","12","Other, incl. lorry","904","Population aged 15 years and over at work","Number","14309"
"FY081C01","Total Persons","2011","2011","1","Male","12","Other, incl. lorry","901","Children at school aged between 5 and 12 years","Number","89"
"FY081C01","Total Persons","2011","2011","1","Male","12","Other, incl. lorry","902","Students at school or college aged between 13 and 18 years","Number","59"
"FY081C01","Total Persons","2011","2011","1","Male","12","Other, incl. lorry","903","Students at school or college aged 19 years and over","Number","57"
"FY081C01","Total Persons","2011","2011","1","Male","98","Not stated","-06","All persons","Number","52344"
"FY081C01","Total Persons","2011","2011","1","Male","98","Not stated","904","Population aged 15 years and over at work","Number","36067"
"FY081C01","Total Persons","2011","2011","1","Male","98","Not stated","901","Children at school aged between 5 and 12 years","Number","9140"
"FY081C01","Total Persons","2011","2011","1","Male","98","Not stated","902","Students at school or college aged between 13 and 18 years","Number","3654"
"FY081C01","Total Persons","2011","2011","1","Male","98","Not stated","903","Students at school or college aged 19 years and over","Number","3483"
"FY081C01","Total Persons","2011","2011","1","Male","-","All means of travel","-06","All persons","Number","1392955"
"FY081C01","Total Persons","2011","2011","1","Male","-","All means of travel","904","Population aged 15 years and over at work","Number","879897"
"FY081C01","Total Persons","2011","2011","1","Male","-","All means of travel","901","Children at school aged between 5 and 12 years","Number","256577"
"FY081C01","Total Persons","2011","2011","1","Male","-","All means of travel","902","Students at school or college aged between 13 and 18 years","Number","163907"
"FY081C01","Total Persons","2011","2011","1","Male","-","All means of travel","903","Students at school or college aged 19 years and over","Number","92574"
